ShowId,season,airDate,repeat,episode
85,4,2009-12-31,1,0
86,4,2010-1-7,1,0
98,4,2010-6-10,1,26
100,5,2009-11-26,0,2
101,5,2009-12-3,0,3
102,5,2009-12-10,0,4
103,5,2009-12-17,0,5
104,5,2009-12-24,0,6
107,5,2010-1-28,0,9
108,5,2010-2-11,0,10
109,5,2010-8-19,1,11
110,5,2010-2-25,0,12
111,5,2010-3-4,0,13
112,5,2010-3-11,0,14
113,5,2010-3-18,0,15
114,5,2010-3-25,0,16
115,5,2010-4-1,0,17
116,5,2010-4-8,0,18
117,5,2010-4-15,0,19
118,5,2010-4-22,0,20
119,5,2010-4-29,0,21
120,5,2010-5-6,0,22
121,5,2010-5-13,0,23
122,5,2010-5-20,0,24
124,5,2010-6-3,0,26
126,6,2011-4-7,0,2
127,6,2011-4-21,0,3
128,6,2011-4-28,0,4
129,6,2011-5-5,0,5
130,6,2011-5-12,0,6
131,6,2011-5-19,0,7
132,6,2011-5-26,0,8
133,6,2011-6-2,0,9
134,6,2011-6-9,0,10
135,6,2011-6-16,0,11
136,6,2011-6-23,0,12
137,6,2011-6-30,0,13
138,6,2011-7-7,0,14
139,6,2011-7-14,0,15
140,6,2011-7-21,0,16
141,6,2011-7-28,0,17
142,6,2011-8-4,0,18
143,6,2011-8-11,0,19
144,6,2011-8-18,0,20
145,6,2011-8-25,0,21
146,6,2011-9-1,0,22
147,6,2011-9-8,0,23
148,6,2011-9-15,0,24
149,7,2013-5-16,1,1
150,7,2013-5-23,1,2
151,7,2013-5-30,1,3
152,7,2013-6-6,1,4
153,7,2013-6-13,1,5
154,7,2013-6-20,1,6
155,7,2013-6-27,1,7
156,7,2013-7-4,1,8
157,7,2013-7-11,1,9
158,7,2013-7-18,1,10
159,7,2013-7-25,1,11
160,7,2013-8-1,1,12
161,7,2013-8-8,1,13
162,7,2013-8-15,1,14
163,7,2013-8-22,1,15
164,7,2013-8-29,1,16
165,7,2013-9-5,1,17
166,7,2012-9-6,0,18
167,7,2013-3-21,1,19
168,7,2013-3-28,1,20
169,7,2013-4-4,1,21
170,7,2013-4-11,1,22
171,7,2013-4-18,1,23
172,7,2013-4-25,1,24
173,7,2013-5-2,1,25
174,7,2013-5-9,1,26
220,9,2015-12-3,1,20
